Gene	MutSig(Q-value)	# Mut	#	Freq	Is Cancer Gene (source: OncoKB)
MYO3A		5	5	1.7%	No
HEATR5B		5	5	1.7%	No
MCTP2		5	5	1.7%	No
FSTL5		6	5	1.7%	No
TENM2		5	5	1.7%	No
RTL9		5	5	1.7%	No
HIVEP3		5	5	1.7%	No
FRAS1		5	5	1.7%	No
THSD7B		5	5	1.7%	No
ANKRD30A	5.990e-4	5	5	1.7%	No
MYOCD		5	5	1.7%	No
AHNAK2		5	5	1.7%	No
ABCA13		5	5	1.7%	No
COL22A1		5	5	1.7%	No
FAM47B		5	5	1.7%	No
ITIH6		6	5	1.7%	No
SPATA31D1		5	5	1.7%	No
ACACA		4	4	1.4%	No
ACAN		5	4	1.4%	No
RERE		4	4	1.4%	No
CACNA1E		4	4	1.4%	No
CYP2C19		4	4	1.4%	No
DMD		4	4	1.4%	No
DNAH9		4	4	1.4%	No
DNMT3A	2.300e-2	4	4	1.4%	Yes
ENPEP		4	4	1.4%	No
EPHA3		4	4	1.4%	Yes
F5		4	4	1.4%	No
FBN1		4	4	1.4%	No
FBN2		4	4	1.4%	No
FLNB		4	4	1.4%	No
CFH		4	4	1.4%	No
RBPJ	3.870e-3	4	4	1.4%	No
KDR		4	4	1.4%	Yes
MKI67		4	4	1.4%	Yes
NOTCH2		4	4	1.4%	Yes
NOTCH3		4	4	1.4%	Yes
PCSK2		4	4	1.4%	No
PDGFRA	5.370e-2	5	4	1.4%	Yes
PLA2G4A		4	4	1.4%	No
PLCG1		4	4	1.4%	Yes
RP1		4	4	1.4%	No
RYR1		5	4	1.4%	No
SCN2A		4	4	1.4%	No
SI		4	4	1.4%	No
SON		4	4	1.4%	No
TCHH		4	4	1.4%	No
TPO		4	4	1.4%	No
UTRN		5	4	1.4%	No
ZNF41		4	4	1.4%	No
USP9X		4	4	1.4%	No
TRRAP		4	4	1.4%	Yes
KCNB2		4	4	1.4%	No
MED12		4	4	1.4%	Yes
MYH15		4	4	1.4%	No
UNC13A		4	4	1.4%	No
CLUH		4	4	1.4%	No
PSD3		4	4	1.4%	No
MXRA5		4	4	1.4%	No
TNRC6A		5	4	1.4%	No
SRBD1		4	4	1.4%	No
PLXNA3		4	4	1.4%	No
DNAH7		4	4	1.4%	No
ANO2		4	4	1.4%	No
PCDH19		4	4	1.4%	No
CDH23		4	4	1.4%	No
DOCK5		4	4	1.4%	No
KIAA1109		4	4	1.4%	No
FBN3		4	4	1.4%	No
KIF2B		4	4	1.4%	No
PKHD1L1		4	4	1.4%	No
TMEM132B		4	4	1.4%	No
AK7		4	4	1.4%	No
MROH2B		4	4	1.4%	No
BEND2		4	4	1.4%	No
ADGRG4		4	4	1.4%	No
VPS13B		4	4	1.4%	No
ZCCHC12	4.230e-2	4	4	1.4%	No
ADGRF5		4	4	1.4%	No
FAM83B		4	4	1.4%	No
SPATA31E1		4	4	1.4%	No
HRNR		4	4	1.4%	No
FER1L6		4	4	1.4%	No
MUC5B		4	4	1.4%	No
AOC1		3	3	1.0%	No
AGL		3	3	1.0%	No
ANK3		3	3	1.0%	No
ATP1A2		3	3	1.0%	No
BSG		3	3	1.0%	No
MPPED1		3	3	1.0%	No
CACNA1S		3	3	1.0%	No
RUNX1T1		3	3	1.0%	Yes
CDH4		3	3	1.0%	No
CDH12		3	3	1.0%	No
CFTR		3	3	1.0%	No
COL1A2		3	3	1.0%	No
COL7A1		3	3	1.0%	No
CREBBP		3	3	1.0%	Yes
CSF2RA	9.960e-2	3	3	1.0%	No
VCAN		3	3	1.0%	No
DLX5		3	3	1.0%	No
DNAH8		3	3	1.0%	No
EGF		3	3	1.0%	No
EIF1AX	1.680e-5	3	3	1.0%	Yes
EPHA4		3	3	1.0%	No
EPHA5		3	3	1.0%	Yes
MECOM		3	3	1.0%	Yes
ACSL1		3	3	1.0%	No
FLNC		3	3	1.0%	No
FRK		3	3	1.0%	No
G6PC		3	3	1.0%	No
GABRA6		3	3	1.0%	Yes
GK2		3	3	1.0%	No
GOLGA4		3	3	1.0%	No
GRIA1		3	3	1.0%	No
GRIA3		3	3	1.0%	No
GRM4		3	3	1.0%	No
GRPR		3	3	1.0%	No
NCKAP1L		3	3	1.0%	No
HTR3A	9.960e-2	3	3	1.0%	No
CXCR2		3	3	1.0%	No
ITPR2		3	3	1.0%	No
LAMA2		3	3	1.0%	No
LIMK1		3	3	1.0%	No
LPO		3	3	1.0%	No
MAX		3	3	1.0%	Yes
MET		3	3	1.0%	Yes
MYO1F		3	3	1.0%	No
MUC7	7.980e-2	3	3	1.0%	No
MYH11		3	3	1.0%	Yes
MYO5A		3	3	1.0%	Yes
MYO7A		3	3	1.0%	No
NRAP		3	3	1.0%	No
TBC1D25		3	3	1.0%	No
PAX4		3	3	1.0%	No
PDE6C		3	3	1.0%	No
PDE8A		3	3	1.0%	No
PLCG2		3	3	1.0%	Yes
PLD1		3	3	1.0%	No
PLEC		4	3	1.0%	No
PTPRC		3	3	1.0%	Yes
PTPRH		3	3	1.0%	No
RB1		3	3	1.0%	Yes
RENBP		3	3	1.0%	No
RGS3		3	3	1.0%	No
RORB		3	3	1.0%	No
RYR3		3	3	1.0%	No
SCN1A		3	3	1.0%	No
SELE		3	3	1.0%	No
SLC1A6		3	3	1.0%	No
SLIT1		3	3	1.0%	No
SSTR4		3	3	1.0%	No
SVIL		4	3	1.0%	No
SYCP1		3	3	1.0%	No
TAF1		3	3	1.0%	Yes
TDG		3	3	1.0%	No
TG		4	3	1.0%	No
TJP1		3	3	1.0%	No
TNXB		3	3	1.0%	No
TPP2		3	3	1.0%	No
TPR		3	3	1.0%	Yes
TRO		3	3	1.0%	No
TRPC3		3	3	1.0%	No
TYK2		3	3	1.0%	Yes
COL14A1		3	3	1.0%	No
USH2A		3	3	1.0%	No
VAV1		3	3	1.0%	Yes
CLIP2		3	3	1.0%	No
ZMYM2		3	3	1.0%	Yes
USP11		3	3	1.0%	No
TP63		3	3	1.0%	Yes
DCHS1		4	3	1.0%	No
EIF4G3		3	3	1.0%	No
SERPINB7		3	3	1.0%	No
MYH13		3	3	1.0%	No
FCGBP		3	3	1.0%	No
SYNJ2		3	3	1.0%	No
HERC2		3	3	1.0%	No
HERC1		3	3	1.0%	No
TRPA1		3	3	1.0%	No
MAP7		3	3	1.0%	No
ZW10		3	3	1.0%	No
ZMYM3		3	3	1.0%	Yes
SRSF11		3	3	1.0%	No
TRIP12		3	3	1.0%	No
ATG5		3	3	1.0%	Yes
NUP155		3	3	1.0%	No
DOCK4		3	3	1.0%	No
RUSC2		6	3	1.0%	No
SMC4		3	3	1.0%	No
ATP9A		3	3	1.0%	No
AKAP9		3	3	1.0%	No
TENM1		3	3	1.0%	No
LILRB2		3	3	1.0%	No
ABCA7		3	3	1.0%	No
CACNG3	4.230e-2	3	3	1.0%	No
COG5		3	3	1.0%	No
CREB3		3	3	1.0%	No
UGT2B11		3	3	1.0%	No
EDAR		3	3	1.0%	No
LILRA1		3	3	1.0%	No
LILRA2		3	3	1.0%	No
KERA		3	3	1.0%	No
POLR3A		3	3	1.0%	No
SLC7A9		3	3	1.0%	No
VSIG4	1.330e-2	3	3	1.0%	No
LAMB4		3	3	1.0%	No
PLCH1		3	3	1.0%	No
CNOT1		3	3	1.0%	No
SETX		3	3	1.0%	No
ATP10B		3	3	1.0%	No
MAST2		3	3	1.0%	No
TBC1D9		3	3	1.0%	No
SYNE2		3	3	1.0%	No
PHF3		3	3	1.0%	No
RIMBP2		4	3	1.0%	No
R3HDM1		3	3	1.0%	No
KIAA1549L		3	3	1.0%	No
MGAT4C		3	3	1.0%	No
TRIM58	9.300e-2	3	3	1.0%	No
SNED1		3	3	1.0%	No
ANKRD17		3	3	1.0%	No
GIGYF2		3	3	1.0%	No
WIPI2		3	3	1.0%	No
IL1RAPL2		3	3	1.0%	No
LATS2		3	3	1.0%	Yes
ZNF638		3	3	1.0%	No
SETD2		3	3	1.0%	Yes
USP25		3	3	1.0%	No
EFEMP2		3	3	1.0%	No
PLCE1		3	3	1.0%	No
LGSN		3	3	1.0%	No
RIPK4		3	3	1.0%	No
KRT20		3	3	1.0%	No
GDPD2		3	3	1.0%	No
PBRM1		3	3	1.0%	Yes
NLRP2		4	3	1.0%	No
IPO9		3	3	1.0%	No
PCDHGC5		3	3	1.0%	No
PCDHB3		3	3	1.0%	No
KIAA1217		3	3	1.0%	No
TRPV5		3	3	1.0%	No
PRDM9		3	3	1.0%	No
ADAMTS9		3	3	1.0%	No
TRIM54		3	3	1.0%	No
ATP10A		3	3	1.0%	No
ARFGEF3		3	3	1.0%	No
ARID1B		3	3	1.0%	Yes
MYH7B		3	3	1.0%	No
PRX		3	3	1.0%	No
KMT2C		3	3	1.0%	Yes
PAPPA2		3	3	1.0%	No
GALNT17		3	3	1.0%	No
SPANXD	1.930e-3	3	3	1.0%	No
TANGO6		3	3	1.0%	No
FAT4		3	3	1.0%	Yes
ZFHX4		3	3	1.0%	No
ATP8B4		3	3	1.0%	No
SPEF2		3	3	1.0%	No
POF1B		3	3	1.0%	No
SVEP1		3	3	1.0%	No
ATF7IP2		3	3	1.0%	No
OR4A16		3	3	1.0%	No
LRRC3		3	3	1.0%	No
DOCK8		3	3	1.0%	No
FCRL5		3	3	1.0%	No
EMILIN2		3	3	1.0%	No
CARD11		3	3	1.0%	Yes
TRIM15		3	3	1.0%	No
NUP210L		3	3	1.0%	No
CSMD2		3	3	1.0%	No
CSMD3		3	3	1.0%	No
TSHZ2		3	3	1.0%	No
ZNF831		3	3	1.0%	No
HDX		3	3	1.0%	No
MAGEB16		3	3	1.0%	No
TRPM6		3	3	1.0%	No
CFAP54		3	3	1.0%	No
LRFN5		3	3	1.0%	No
FGD5		3	3	1.0%	No
PLEKHG4B		3	3	1.0%	No
AMOTL1		3	3	1.0%	No
SAXO1		3	3	1.0%	No
FAM47A		3	3	1.0%	No
PKD1L1		3	3	1.0%	No
GLIS3		3	3	1.0%	No
SPAG17		3	3	1.0%	No
ERICH5		3	3	1.0%	No
HEPACAM2		3	3	1.0%	No
CFAP65		3	3	1.0%	No
ASPM		3	3	1.0%	No
DPY19L2		3	3	1.0%	No
CLEC9A		3	3	1.0%	No
KSR2		3	3	1.0%	Yes
NLRP9		3	3	1.0%	No
ANO9		3	3	1.0%	No
DCAF12L2		3	3	1.0%	No
OR52B6		3	3	1.0%	No
AADACL2		3	3	1.0%	No
SLCO4C1		3	3	1.0%	No
TMPRSS11F		3	3	1.0%	No
RBM12B		11	3	1.0%	No
OR8K1		3	3	1.0%	No
OR9G1		3	3	1.0%	No
OR4N2		3	3	1.0%	No
OR2M7		3	3	1.0%	No
A2M		2	2	0.7%	No
NAT2		2	2	0.7%	No
SERPINA3		2	2	0.7%	No
ABR		4	2	0.7%	No
ACACB		2	2	0.7%	No
ACADS		2	2	0.7%	No
ACLY		2	2	0.7%	No
ACPP		2	2	0.7%	No
ACVR2A		2	2	0.7%	Yes
ADARB2		2	2	0.7%	No
GRK2		2	2	0.7%	No
AFP		2	2	0.7%	No
ALDH3A1		2	2	0.7%	No
ALDH1B1		2	2	0.7%	No
ALPP		2	2	0.7%	No
AMPD2		2	2	0.7%	No
ANK1		2	2	0.7%	No
ANXA1		2	2	0.7%	No
XIAP		2	2	0.7%	Yes
SHROOM2		2	2	0.7%	No
ASTN1		2	2	0.7%	No
ATP4A		2	2	0.7%	No
PRDM1		2	2	0.7%	Yes
DST		2	2	0.7%	No
BRAF		2	2	0.7%	Yes
BRCA2		2	2	0.7%	Yes
C2		2	2	0.7%	No
C8A		2	2	0.7%	No
DAGLA		2	2	0.7%	No
CACNA1F		2	2	0.7%	No
CAD		2	2	0.7%	Yes
CASR		2	2	0.7%	No
SERPINH1		2	2	0.7%	No
CD1B		2	2	0.7%	No
CD1E		2	2	0.7%	No
CD22		2	2	0.7%	Yes
SIGLEC6		2	2	0.7%	No
CD44		2	2	0.7%	No
CDH6		2	2	0.7%	No
CDH8		3	2	0.7%	No
CDH16		2	2	0.7%	No
CEACAM5		2	2	0.7%	No
CHD4		2	2	0.7%	Yes
CHRM3		2	2	0.7%	No
CHRNA1		2	2	0.7%	No
COL4A5		2	2	0.7%	No
COL4A6		2	2	0.7%	No
CPA1		2	2	0.7%	No
CPS1		2	2	0.7%	Yes
CR1		2	2	0.7%	No
CR2		2	2	0.7%	No
CYP1A2		2	2	0.7%	No
CYP3A4		2	2	0.7%	No
DAB2		2	2	0.7%	No
DCC		2	2	0.7%	No
DDX5		2	2	0.7%	Yes
DMXL1		2	2	0.7%	No
DIAPH2		2	2	0.7%	No
DMBT1		2	2	0.7%	No
DYNC1H1		2	2	0.7%	No
DYNC1I1		2	2	0.7%	No
SLC26A3		2	2	0.7%	No
DRD5		2	2	0.7%	No
DSCAM		2	2	0.7%	No
DSG1		2	2	0.7%	No
DSG2		2	2	0.7%	No
DSP		3	2	0.7%	No
DUSP5		2	2	0.7%	No
E4F1		2	2	0.7%	No
EEF1A1		2	2	0.7%	No
EIF4A1		2	2	0.7%	No
EIF4G1		2	2	0.7%	No
EPB41L2		2	2	0.7%	No
EPHX2		2	2	0.7%	No
ESR2		2	2	0.7%	No
EXTL1		2	2	0.7%	No
F2		2	2	0.7%	No
F8		2	2	0.7%	No
F13A1		2	2	0.7%	No
FANCD2		2	2	0.7%	Yes
FANCB		2	2	0.7%	No
FBLN1		2	2	0.7%	No
FAT1		2	2	0.7%	Yes
FGF5		2	2	0.7%	No
FLNA		2	2	0.7%	No
FPGS		2	2	0.7%	No
MTOR		2	2	0.7%	Yes
ADAM2		2	2	0.7%	No
G6PD		2	2	0.7%	No
GABRA1		2	2	0.7%	No
GABRA4		2	2	0.7%	No
GABRB2		2	2	0.7%	No
GABRP		2	2	0.7%	No
GAD2		2	2	0.7%	No
GATA6		2	2	0.7%	Yes
GDI1		2	2	0.7%	No
GNAI1		2	2	0.7%	No
GNAO1		2	2	0.7%	No
RAPGEF1		2	2	0.7%	No
GRIN2B		2	2	0.7%	No
GRIN2D		2	2	0.7%	No
GRM7		2	2	0.7%	No
GUCY2C		2	2	0.7%	No
GUCY2F		2	2	0.7%	No
H3F3A		2	2	0.7%	Yes
HADHA		2	2	0.7%	No
HCCS		2	2	0.7%	No
HCFC1		2	2	0.7%	No
HDAC2		2	2	0.7%	No
HGD		2	2	0.7%	No
HGF		2	2	0.7%	Yes
HK1		2	2	0.7%	No
HLA-DQA2		2	2	0.7%	No
HNRNPL		2	2	0.7%	No
HOXA1		2	2	0.7%	No
HSD17B4		2	2	0.7%	No
HTR2B		3	2	0.7%	No
TNC		2	2	0.7%	No
IFRD1		2	2	0.7%	No
IGF1R		2	2	0.7%	Yes
IL16		2	2	0.7%	No
IL18		2	2	0.7%	No
IREB2		2	2	0.7%	No
ITGAL		2	2	0.7%	No
ITIH4		2	2	0.7%	No
ITPR1		2	2	0.7%	No
ITPR3		2	2	0.7%	No
ANOS1		2	2	0.7%	No
KCNB1		2	2	0.7%	No
KCNJ2		2	2	0.7%	No
KIF25		2	2	0.7%	No
KRT15	1.930e-3	2	2	0.7%	No
KRT83		2	2	0.7%	No
LCT		2	2	0.7%	No
LRP1		2	2	0.7%	No
LRP6		2	2	0.7%	No
CYP4F3		2	2	0.7%	No
LTBR		2	2	0.7%	No
MAGEA6		2	2	0.7%	No
MAGEB2		2	2	0.7%	No
MAP1B		2	2	0.7%	No
MATK		2	2	0.7%	No
MATN2		2	2	0.7%	No
MCF2		2	2	0.7%	No
MAP3K1		2	2	0.7%	Yes
MAP3K4		2	2	0.7%	No
MIPEP		2	2	0.7%	No
KMT2A		2	2	0.7%	Yes
TRPM1		2	2	0.7%	No
MUSK		2	2	0.7%	No
MYH3		2	2	0.7%	No
MYH6		2	2	0.7%	No
MYO7B		2	2	0.7%	No
MYO10		2	2	0.7%	No
MYT1		2	2	0.7%	No
NAGLU		2	2	0.7%	No
NDN		2	2	0.7%	No
NELL1		2	2	0.7%	No
NEU2		2	2	0.7%	No
NHS		2	2	0.7%	No
NKX2-2		2	2	0.7%	No
NMBR		2	2	0.7%	No
NPY		2	2	0.7%	No
NOTCH4		2	2	0.7%	Yes
NRCAM		2	2	0.7%	No
NUMA1		2	2	0.7%	Yes
OCA2		2	2	0.7%	No
OPHN1		2	2	0.7%	No
OR1D2		2	2	0.7%	No
OR3A2		2	2	0.7%	No
OTX2		2	2	0.7%	No
PA2G4		2	2	0.7%	No
PCSK6		2	2	0.7%	No
PALM		2	2	0.7%	No
CNTN3		2	2	0.7%	No
PAPPA		2	2	0.7%	No
PCDH7		2	2	0.7%	No
PDE2A		2	2	0.7%	No
ENPP3		2	2	0.7%	No
PEG3		2	2	0.7%	No
ABCB1		2	2	0.7%	No
ABCB4		2	2	0.7%	No
PHKA2		2	2	0.7%	No
PI4KA		2	2	0.7%	No
PI4KB		2	2	0.7%	No
PLCB2		2	2	0.7%	No
POLA1		2	2	0.7%	No
POU1F1		2	2	0.7%	No
PPEF2		2	2	0.7%	No
PPP2R5D		2	2	0.7%	No
PRCP	1.290e-12	2	2	0.7%	No
PRKAR1A		2	2	0.7%	Yes
PRKDC		2	2	0.7%	Yes
RELN		2	2	0.7%	Yes
TMPRSS15		2	2	0.7%	No
PTPN14		2	2	0.7%	No
PTPRB		2	2	0.7%	Yes
PTPRJ		2	2	0.7%	No
PTPRM		2	2	0.7%	No
PTPRZ1		2	2	0.7%	No
RANBP2		2	2	0.7%	Yes
RASGRF2		2	2	0.7%	No
RBBP6		2	2	0.7%	No
RET		2	2	0.7%	Yes
RGS12		2	2	0.7%	No
RLF		2	2	0.7%	No
ROM1		2	2	0.7%	No
ROS1		2	2	0.7%	Yes
RS1		2	2	0.7%	No
SCN4A		2	2	0.7%	No
SCN5A		2	2	0.7%	No
SCN7A		2	2	0.7%	No
SCN10A		2	2	0.7%	No
SIM1		2	2	0.7%	No
SLC6A6		2	2	0.7%	No
SLCO2A1		2	2	0.7%	No
SMARCA1		2	2	0.7%	Yes
SP3		2	2	0.7%	No
SP100		2	2	0.7%	No
SPP2		2	2	0.7%	No
SPTAN1		2	2	0.7%	No
SREBF1		3	2	0.7%	No
SSTR3		2	2	0.7%	No
ELOA		2	2	0.7%	No
TCF7L2		2	2	0.7%	Yes
TEAD1		2	2	0.7%	No
TEP1		2	2	0.7%	No
TFRC		2	2	0.7%	Yes
TIAM1		2	2	0.7%	No
TIE1		2	2	0.7%	No
TLN1		2	2	0.7%	No
TLR1		2	2	0.7%	No
TPM1		2	2	0.7%	No
TSC2		2	2	0.7%	Yes
TSHR		2	2	0.7%	Yes
TUBA3C		2	2	0.7%	No
TYR		2	2	0.7%	No
UTY		2	2	0.7%	No
VDAC3		2	2	0.7%	No
VIL1		2	2	0.7%	No
VRK1		2	2	0.7%	No
ZAN		2	2	0.7%	No
XDH		2	2	0.7%	No
XG		2	2	0.7%	No
XK		2	2	0.7%	No
ZAP70		2	2	0.7%	No
ZFPL1		2	2	0.7%	No
ZFX		2	2	0.7%	No
ZNF91		2	2	0.7%	No
ZNF138		2	2	0.7%	No
ZNF148		2	2	0.7%	No
ZNF208		2	2	0.7%	No
ZNF215		2	2	0.7%	No
SLC30A2		2	2	0.7%	No
CUBN		2	2	0.7%	No
LZTR1		2	2	0.7%	Yes
DYSF		2	2	0.7%	No
ANXA9		2	2	0.7%	No
BFSP2		2	2	0.7%	No
CUL4B	4.870e-3	2	2	0.7%	No
FOXN1		2	2	0.7%	No
DGKD		2	2	0.7%	No
ASMTL		2	2	0.7%	Yes
DNAH17		2	2	0.7%	No
PCDHGB4		2	2	0.7%	No
KRT37		2	2	0.7%	No
ADAM7		3	2	0.7%	No
RIOK3		2	2	0.7%	No
IL1RL2		2	2	0.7%	No
CCN5		2	2	0.7%	No
AKAP4		2	2	0.7%	No
CCNA1		2	2	0.7%	No
TIMELESS		2	2	0.7%	No
MGAM		2	2	0.7%	Yes
RGN		2	2	0.7%	No
MYOM2		2	2	0.7%	No
IL1RL1		2	2	0.7%	No
ARHGEF2		2	2	0.7%	No
LGI1		2	2	0.7%	No
MTA2		2	2	0.7%	No
DLG5		2	2	0.7%	No
GPR50		2	2	0.7%	No
TSPOAP1		2	2	0.7%	No
MMP20		2	2	0.7%	No
PTER		2	2	0.7%	No
TGM5		2	2	0.7%	No
EFTUD2		2	2	0.7%	No
NDST3		2	2	0.7%	No
SLIT2		2	2	0.7%	No
ARHGEF6		2	2	0.7%	No
AKAP6		2	2	0.7%	No
THEMIS2		2	2	0.7%	No
SLC4A7		2	2	0.7%	No
STXBP5L		2	2	0.7%	No
NCOR1		2	2	0.7%	Yes
NCOR2		2	2	0.7%	Yes
IKBKE		2	2	0.7%	Yes
PLCH2		2	2	0.7%	No
GREB1		2	2	0.7%	No
CROCC		2	2	0.7%	No
PPP6R2		2	2	0.7%	No
SART3		2	2	0.7%	No
KMT2B		2	2	0.7%	Yes
HDAC4		2	2	0.7%	Yes
JADE3		2	2	0.7%	No
BCLAF1		2	2	0.7%	No
DHX38		2	2	0.7%	No
DLGAP5		2	2	0.7%	No
MAML1		2	2	0.7%	No
CTIF		2	2	0.7%	No
RB1CC1		2	2	0.7%	No
ARHGAP11A		2	2	0.7%	No
SPATA2		2	2	0.7%	No
HEPH		2	2	0.7%	No
TRANK1		2	2	0.7%	No
TBC1D4		2	2	0.7%	No
TELO2		2	2	0.7%	No
HELZ		2	2	0.7%	No
AMMECR1		2	2	0.7%	No
TANK		2	2	0.7%	No
HDAC6		2	2	0.7%	No
HCN4		2	2	0.7%	No
SH2D3C		2	2	0.7%	No
MAMLD1		2	2	0.7%	No
ENAM		2	2	0.7%	No
FRY		2	2	0.7%	No
ADGRG2		2	2	0.7%	No
TSHZ1		2	2	0.7%	No
TRIM13		2	2	0.7%	No
AKAP8		2	2	0.7%	No
CLEC4M		2	2	0.7%	No
TLR6		2	2	0.7%	No
MRVI1		2	2	0.7%	No
TUBB4B		2	2	0.7%	No
DLC1		2	2	0.7%	No
PRMT5		2	2	0.7%	No
ZER1		2	2	0.7%	No
APPBP2		2	2	0.7%	No
DEAF1		2	2	0.7%	No
ARFGEF2		2	2	0.7%	No
CCT7		2	2	0.7%	No
SLCO1B1		2	2	0.7%	No
FARS2		2	2	0.7%	No
NFAT5		2	2	0.7%	No
YME1L1		2	2	0.7%	No
STAG3		2	2	0.7%	No
STAG2		2	2	0.7%	Yes
KDM5B		2	2	0.7%	No
NCKAP1		2	2	0.7%	No
VAMP5		2	2	0.7%	No
WASF3		2	2	0.7%	No
ADAM28		2	2	0.7%	No
USP20		2	2	0.7%	No
CFHR3		2	2	0.7%	No
PROKR1		2	2	0.7%	No
SPINK5		2	2	0.7%	No
LILRA3		2	2	0.7%	No
CIT		2	2	0.7%	No
CAPN11		2	2	0.7%	No
SUPT16H		2	2	0.7%	No
AKAP13		2	2	0.7%	No
ZHX1		2	2	0.7%	No
SP140		2	2	0.7%	Yes
SYNRG		2	2	0.7%	No
TMC6		2	2	0.7%	No
PHB2		2	2	0.7%	No
HSPA4L		2	2	0.7%	No
COBLL1		2	2	0.7%	No
NLRP1		2	2	0.7%	No
SLITRK3		2	2	0.7%	No
CNKSR2		2	2	0.7%	No
ABLIM3		2	2	0.7%	No
PCNX1		2	2	0.7%	No
LIMCH1		2	2	0.7%	No
SNRNP200		2	2	0.7%	No
MAST3		2	2	0.7%	No
PDZD2		2	2	0.7%	No
UHRF1BP1L		2	2	0.7%	No
MYCBP2		2	2	0.7%	No
KDM4C		2	2	0.7%	Yes
EPB41L3		2	2	0.7%	No
EFR3A		2	2	0.7%	No
PSME4		2	2	0.7%	No
ACSBG1		2	2	0.7%	No
NBEAL2		2	2	0.7%	No
PLCB1		2	2	0.7%	No
MTCL1		2	2	0.7%	No
PPIP5K2		2	2	0.7%	No
ADGRL2		2	2	0.7%	No
MTUS2		2	2	0.7%	No
ADGRL3		2	2	0.7%	No
KIF13B		2	2	0.7%	No
DMXL2		2	2	0.7%	No
SZT2		2	2	0.7%	No
UBR4		2	2	0.7%	No
FNBP4		2	2	0.7%	No
SPECC1L		2	2	0.7%	No
AP4E1		2	2	0.7%	No
SF3B1		2	2	0.7%	Yes
ABCB10		2	2	0.7%	No
CES3		2	2	0.7%	No
MACF1		3	2	0.7%	No
LRRC8B		2	2	0.7%	No
SCRIB		2	2	0.7%	No
CABIN1		2	2	0.7%	No
SRRM2		2	2	0.7%	No
ACOT9		2	2	0.7%	No
MKRN1		2	2	0.7%	No
GSPT2		2	2	0.7%	No
RAB3GAP2		2	2	0.7%	No
CFAP45		2	2	0.7%	No
OLFML2B		2	2	0.7%	No
C20ORF194		2	2	0.7%	No
KANK2		2	2	0.7%	No
ADGRA2		2	2	0.7%	Yes
VIRMA		2	2	0.7%	No
DNAH1		2	2	0.7%	No
PTCD1		2	2	0.7%	No
CHD5		2	2	0.7%	No
UBXN7		2	2	0.7%	No
AUTS2		2	2	0.7%	No
CFAP61		2	2	0.7%	No
EPC2		2	2	0.7%	No
OR1C1		2	2	0.7%	No
TIAM2		2	2	0.7%	No
SACS		2	2	0.7%	No
SEZ6L2		2	2	0.7%	No
AGO1		2	2	0.7%	Yes
HAVCR1		2	2	0.7%	No
MORC1		2	2	0.7%	No
