Gene	MutSig(Q-value)	# Mut	#	Freq	Is Cancer Gene (source: OncoKB)
DMD		11	9	1.8%	No
FBN2		13	9	1.8%	No
ITPR3		12	9	1.8%	No
KEL		9	9	1.8%	Yes
LRP1		17	9	1.8%	No
MYH4		9	9	1.8%	No
RYR1		11	9	1.8%	No
TNXB		11	9	1.8%	No
TPTE		9	9	1.8%	No
UTRN		14	9	1.8%	No
CUL4B		11	9	1.8%	No
DNAH11		12	9	1.8%	No
MYH13		10	9	1.8%	No
TENM1		12	9	1.8%	No
MXRA5		11	9	1.8%	No
SPTBN5		10	9	1.8%	No
VPS13C		16	9	1.8%	No
ARID1B		13	9	1.8%	Yes
PRX		10	9	1.8%	No
KMT2C		14	9	1.8%	Yes
FAT4		14	9	1.8%	Yes
KIF2B		9	9	1.8%	No
ADGRG4		12	9	1.8%	No
SPAG17		14	9	1.8%	No
SPATA31D1		9	9	1.8%	No
ACACA		11	8	1.6%	No
CACNA1S		8	8	1.6%	No
DNAH8		11	8	1.6%	No
DSP		14	8	1.6%	No
F8		14	8	1.6%	No
AFF2		8	8	1.6%	No
LAMA2		10	8	1.6%	No
MKI67		15	8	1.6%	Yes
MUC2		11	8	1.6%	No
PDGFRA		11	8	1.6%	Yes
PTPN11		8	8	1.6%	Yes
PTPRZ1		10	8	1.6%	No
RP1		9	8	1.6%	No
RYR3		10	8	1.6%	No
SCN3A		8	8	1.6%	No
SI		9	8	1.6%	No
SLC6A3		9	8	1.6%	No
USH2A		14	8	1.6%	No
ALMS1		12	8	1.6%	No
DNAH17		13	8	1.6%	No
TRPA1		8	8	1.6%	No
CELSR1		10	8	1.6%	No
MED12		11	8	1.6%	Yes
STAB1		9	8	1.6%	No
LTN1		9	8	1.6%	No
CPAMD8		8	8	1.6%	No
ANKRD11		13	8	1.6%	Yes
RIPK4		10	8	1.6%	No
KIF16B		9	8	1.6%	No
FSTL5		10	8	1.6%	No
THSD7B		8	8	1.6%	No
MROH2B		9	8	1.6%	No
VPS13B		14	8	1.6%	No
CFAP65		8	8	1.6%	No
ASPM		12	8	1.6%	No
DCAF12L2		8	8	1.6%	No
FER1L6		8	8	1.6%	No
ACACB		7	7	1.4%	No
BRCA2		9	7	1.4%	Yes
COL4A5		7	7	1.4%	No
COL12A1		11	7	1.4%	No
CELSR3		11	7	1.4%	No
FAT1		10	7	1.4%	Yes
FLNA		12	7	1.4%	No
HCFC1		8	7	1.4%	No
KIT		7	7	1.4%	Yes
LCT		9	7	1.4%	No
MYH11		7	7	1.4%	Yes
PDE2A		7	7	1.4%	No
PLCG2		8	7	1.4%	Yes
TMPRSS15		8	7	1.4%	No
PTPRC		7	7	1.4%	Yes
PTPRH		7	7	1.4%	No
SSTR4		7	7	1.4%	No
SVIL		10	7	1.4%	No
USP9X		12	7	1.4%	No
TRRAP		8	7	1.4%	Yes
OGT		8	7	1.4%	No
HERC1		9	7	1.4%	No
OTOF		7	7	1.4%	No
ABCA7		7	7	1.4%	No
WDFY3		9	7	1.4%	No
CNOT1		13	7	1.4%	No
ATP10B		8	7	1.4%	No
VPS13A		8	7	1.4%	No
SZT2		11	7	1.4%	No
NBEA		7	7	1.4%	No
MYO3A		7	7	1.4%	No
HEATR5B		9	7	1.4%	No
DNAH3		11	7	1.4%	No
NLRP2		8	7	1.4%	No
WWC3		8	7	1.4%	No
KIAA1217		11	7	1.4%	No
ADAMTS9		8	7	1.4%	No
TRPC7		8	7	1.4%	No
TENM2		13	7	1.4%	No
PCDH19		7	7	1.4%	No
RTL9		7	7	1.4%	No
HIVEP3		8	7	1.4%	No
CDCP1		8	7	1.4%	No
DYNC2H1		13	7	1.4%	No
CHD9		9	7	1.4%	No
CPEB4		9	7	1.4%	No
FBN3		13	7	1.4%	No
PKHD1L1		11	7	1.4%	No
TMEM132B		7	7	1.4%	No
FAT3		7	7	1.4%	No
DCAF8L1		7	7	1.4%	No
FGD5		7	7	1.4%	No
FAM47A		7	7	1.4%	No
FAM47B		7	7	1.4%	No
KCNT2		10	7	1.4%	No
SLCO4C1		7	7	1.4%	No
HRNR		7	7	1.4%	No
RBM12B		15	7	1.4%	No
PTCHD4		7	7	1.4%	No
ANK3		8	6	1.2%	No
RERE		7	6	1.2%	No
DST		14	6	1.2%	No
C4BPA		6	6	1.2%	No
CACNA1E		6	6	1.2%	No
CDH17		6	6	1.2%	No
CENPE		7	6	1.2%	No
COL7A1		12	6	1.2%	No
CREBBP		10	6	1.2%	Yes
CSF2RA		6	6	1.2%	No
CYLC1		7	6	1.2%	No
DYNC1H1		9	6	1.2%	No
DSG1		6	6	1.2%	No
DSG2		6	6	1.2%	No
EIF4A1		6	6	1.2%	No
ENPEP		6	6	1.2%	No
EPHA4		8	6	1.2%	No
FLNB		8	6	1.2%	No
FLT4		7	6	1.2%	Yes
MTOR		8	6	1.2%	Yes
GRIA3		6	6	1.2%	No
GRIN2A		6	6	1.2%	Yes
CFH		7	6	1.2%	No
HIVEP1		10	6	1.2%	No
KRT15		6	6	1.2%	No
MATN2		6	6	1.2%	No
MYO1F		8	6	1.2%	No
MUC7		6	6	1.2%	No
MYH3		7	6	1.2%	No
MYH7		10	6	1.2%	No
MYO7B		8	6	1.2%	No
NHS		8	6	1.2%	No
NOTCH2		10	6	1.2%	Yes
PCSK2		6	6	1.2%	No
PDE4D		6	6	1.2%	No
PDE8A		6	6	1.2%	No
VIT		6	6	1.2%	No
PRKDC		10	6	1.2%	Yes
RELN		10	6	1.2%	Yes
PTPRM		7	6	1.2%	No
RANBP2		7	6	1.2%	Yes
RB1		6	6	1.2%	Yes
RBBP6		8	6	1.2%	No
SCN10A		12	6	1.2%	No
SELE		6	6	1.2%	No
SLIT1		6	6	1.2%	No
SON		6	6	1.2%	No
SPTA1		9	6	1.2%	No
SPTB		6	6	1.2%	No
TG		9	6	1.2%	No
COL14A1		6	6	1.2%	No
VIL1		7	6	1.2%	No
VWF		7	6	1.2%	No
CLIP2		6	6	1.2%	No
ZMYM2		7	6	1.2%	Yes
CUBN		12	6	1.2%	No
EIF4G3		6	6	1.2%	No
AKAP4		6	6	1.2%	No
FCGBP		6	6	1.2%	No
CACNA1I		7	6	1.2%	No
HERC2		11	6	1.2%	No
IL1RL1		6	6	1.2%	No
TSPOAP1		8	6	1.2%	No
KCNB2		6	6	1.2%	No
NUP155		6	6	1.2%	No
GREB1		8	6	1.2%	No
DOCK4		6	6	1.2%	No
RUSC2		8	6	1.2%	No
AKAP9		8	6	1.2%	No
SLCO1B1		6	6	1.2%	No
EDAR		6	6	1.2%	No
VSIG4		6	6	1.2%	No
ABLIM3		6	6	1.2%	No
MYH15		6	6	1.2%	No
MYCBP2		10	6	1.2%	No
EXPH5		7	6	1.2%	No
MTCL1		7	6	1.2%	No
CLUH		6	6	1.2%	No
MTUS2		6	6	1.2%	No
KIF13B		7	6	1.2%	No
DMXL2		6	6	1.2%	No
UBR4		11	6	1.2%	No
PHF3		6	6	1.2%	No
MACF1		9	6	1.2%	No
RIMBP2		8	6	1.2%	No
R3HDM1		6	6	1.2%	No
MGAT4C		6	6	1.2%	No
RTTN		8	6	1.2%	No
AUTS2		7	6	1.2%	No
ANKRD17		6	6	1.2%	No
IL1RAPL2		7	6	1.2%	No
TNRC6A		8	6	1.2%	No
ZNF638		7	6	1.2%	No
FHOD1		6	6	1.2%	No
PLCE1		8	6	1.2%	No
TLR7		6	6	1.2%	No
SDK2		7	6	1.2%	No
HYDIN		6	6	1.2%	No
DCHS2		7	6	1.2%	No
SRBD1		6	6	1.2%	No
PLXNA3		6	6	1.2%	No
CARMIL1		8	6	1.2%	No
TENM3		6	6	1.2%	No
MCTP2		7	6	1.2%	No
PCDHA1		6	6	1.2%	No
STK31		7	6	1.2%	No
PRDM9		7	6	1.2%	No
ANO2		6	6	1.2%	No
ZMIZ1		6	6	1.2%	No
ATP10D		10	6	1.2%	No
BCORL1		7	6	1.2%	Yes
SPEF2		8	6	1.2%	No
SVEP1		8	6	1.2%	No
HKDC1		6	6	1.2%	No
DOCK8		7	6	1.2%	No
NAV3		9	6	1.2%	No
MYOCD		6	6	1.2%	No
AHNAK2		9	6	1.2%	No
NLRP13		6	6	1.2%	No
ZNF831		7	6	1.2%	No
HDX		6	6	1.2%	No
TRPM6		10	6	1.2%	No
TTBK2		8	6	1.2%	No
DNAH2		10	6	1.2%	No
SGO2		6	6	1.2%	No
COL22A1		6	6	1.2%	No
GLIS3		7	6	1.2%	No
ZCCHC12		6	6	1.2%	No
DNAH10		8	6	1.2%	No
ADCY4		6	6	1.2%	No
FAM83B		6	6	1.2%	No
IGSF10		9	6	1.2%	No
CFAP47		8	6	1.2%	No
ANO9		6	6	1.2%	No
RTL5		7	6	1.2%	No
AADACL2		7	6	1.2%	No
OR5H14		6	6	1.2%	No
ACVRL1		5	5	1.0%	No
SHROOM2		5	5	1.0%	No
ATP12A		6	5	1.0%	No
ATP7A		8	5	1.0%	No
LRBA		7	5	1.0%	No
CDH4		5	5	1.0%	No
CDH12		6	5	1.0%	No
CDH18		5	5	1.0%	No
COL1A2		7	5	1.0%	No
COL3A1		5	5	1.0%	No
COL19A1		5	5	1.0%	No
CR1		5	5	1.0%	No
CR2		5	5	1.0%	No
DAPK1		7	5	1.0%	No
DMXL1		14	5	1.0%	No
DMBT1		5	5	1.0%	No
ATN1		5	5	1.0%	No
DSCAM		8	5	1.0%	No
EEF1A1		5	5	1.0%	No
EGF		5	5	1.0%	No
CELSR2		12	5	1.0%	No
EPHA3		5	5	1.0%	Yes
EPHA5		5	5	1.0%	Yes
MECOM		8	5	1.0%	Yes
F5		6	5	1.0%	No
ADAM2		5	5	1.0%	No
FUT8		5	5	1.0%	No
G6PC		5	5	1.0%	No
LRRC32		5	5	1.0%	No
GRM3		6	5	1.0%	Yes
HTR3A		5	5	1.0%	No
IGF1R		5	5	1.0%	Yes
IL16		7	5	1.0%	No
ITGB6		7	5	1.0%	No
KDR		6	5	1.0%	Yes
L1CAM		7	5	1.0%	No
LAMA5		9	5	1.0%	No
LTBP2		5	5	1.0%	No
LY9		5	5	1.0%	No
MATK		5	5	1.0%	No
MMP10		6	5	1.0%	No
MYO7A		7	5	1.0%	No
MYT1		6	5	1.0%	No
NDUFS1		5	5	1.0%	No
NEFM		5	5	1.0%	No
NEO1		7	5	1.0%	No
NFATC2		6	5	1.0%	Yes
NOTCH3		5	5	1.0%	Yes
ROR2		5	5	1.0%	No
NUMA1		7	5	1.0%	Yes
OCA2		6	5	1.0%	No
PCM1		7	5	1.0%	Yes
PFKL		5	5	1.0%	No
ABCB1		5	5	1.0%	No
PLCG1		5	5	1.0%	Yes
PLD1		7	5	1.0%	No
PLEC		11	5	1.0%	No
PLXNB3		7	5	1.0%	No
POLR2A		6	5	1.0%	No
PPL		6	5	1.0%	No
PTPRB		6	5	1.0%	Yes
RET		6	5	1.0%	Yes
RGS3		9	5	1.0%	No
CLIP1		6	5	1.0%	Yes
SCN2A		7	5	1.0%	No
SLC4A2		5	5	1.0%	No
SLC6A4		5	5	1.0%	No
SMARCC1		7	5	1.0%	No
SREBF1		6	5	1.0%	No
SSTR3		5	5	1.0%	No
SYCP1		5	5	1.0%	No
TAF1		7	5	1.0%	Yes
TCF7L2		5	5	1.0%	Yes
TEP1		9	5	1.0%	No
TCHH		8	5	1.0%	No
TIAM1		5	5	1.0%	No
TIE1		5	5	1.0%	No
TJP1		5	5	1.0%	No
TPO		6	5	1.0%	No
TYK2		7	5	1.0%	Yes
ZNF41		5	5	1.0%	No
RNF112		5	5	1.0%	No
ZNF215		5	5	1.0%	No
USP11		5	5	1.0%	No
DYSF		10	5	1.0%	No
PCDHGB4		5	5	1.0%	No
DCHS1		7	5	1.0%	No
SERPINB7		5	5	1.0%	No
ADAM7		6	5	1.0%	No
MPDZ		9	5	1.0%	No
SYNJ2		8	5	1.0%	No
CACNA1H		6	5	1.0%	No
MGAM		5	5	1.0%	Yes
ZW10		5	5	1.0%	No
ZMYM3		6	5	1.0%	Yes
DLG5		5	5	1.0%	No
MFHAS1		5	5	1.0%	No
SLIT2		5	5	1.0%	No
ARHGEF6		5	5	1.0%	No
AKAP6		9	5	1.0%	No
ADAMTS2		5	5	1.0%	No
KIF20B		5	5	1.0%	No
NCOR1		10	5	1.0%	Yes
PPP6R2		8	5	1.0%	No
IFT140		6	5	1.0%	No
SLK		5	5	1.0%	No
FRMPD4		9	5	1.0%	No
BCLAF1		5	5	1.0%	No
TRANK1		6	5	1.0%	No
HCN4		6	5	1.0%	No
SLC17A4		5	5	1.0%	No
HUWE1		6	5	1.0%	No
ATP9A		5	5	1.0%	No
FRY		7	5	1.0%	No
AKAP8		5	5	1.0%	No
SPEG		6	5	1.0%	No
NEBL		6	5	1.0%	No
TACC2		8	5	1.0%	No
PRPF8		9	5	1.0%	No
YME1L1		5	5	1.0%	No
ADAM28		5	5	1.0%	No
USP20		6	5	1.0%	No
PROKR1		5	5	1.0%	No
AKAP13		8	5	1.0%	No
DHX30		7	5	1.0%	No
PCNX1		8	5	1.0%	No
SNRNP200		6	5	1.0%	No
UNC13A		7	5	1.0%	No
MAST3		5	5	1.0%	No
EPB41L3		6	5	1.0%	No
PSME4		5	5	1.0%	No
ACSBG1		7	5	1.0%	No
NBEAL2		9	5	1.0%	No
SYNE2		12	5	1.0%	No
ARHGEF9		5	5	1.0%	No
ADGRL2		6	5	1.0%	No
MGA		9	5	1.0%	Yes
ADGRL3		5	5	1.0%	No
USP24		5	5	1.0%	No
SF3B1		7	5	1.0%	Yes
CEMIP2		7	5	1.0%	No
ZNF318		13	5	1.0%	No
KIAA1549L		5	5	1.0%	No
NGEF		5	5	1.0%	No
PTPN23		5	5	1.0%	No
VIRMA		5	5	1.0%	No
DNAH1		8	5	1.0%	No
SNED1		5	5	1.0%	No
TIAM2		6	5	1.0%	No
LATS2		5	5	1.0%	Yes
AHDC1		7	5	1.0%	No
CDH19		5	5	1.0%	No
PNMA3		5	5	1.0%	No
CDK12		5	5	1.0%	Yes
TET2		6	5	1.0%	Yes
GDPD2		6	5	1.0%	No
KIF26B		5	5	1.0%	No
ANO1		6	5	1.0%	No
PBRM1		9	5	1.0%	Yes
RAVER2		5	5	1.0%	No
TRPV6		5	5	1.0%	No
SAGE1		5	5	1.0%	No
AMBRA1		5	5	1.0%	No
PCDHGA3		6	5	1.0%	No
PCDHAC1		6	5	1.0%	No
PCDHA2		5	5	1.0%	No
RNF17		5	5	1.0%	No
UGGT1		6	5	1.0%	No
PGLYRP4		5	5	1.0%	No
SCYL3		5	5	1.0%	No
ARFGEF3		6	5	1.0%	No
DSCAML1		7	5	1.0%	No
SHROOM4		5	5	1.0%	No
USP31		5	5	1.0%	No
PRR12		5	5	1.0%	No
LRRC7		5	5	1.0%	No
SIPA1L2		5	5	1.0%	No
UNC79		6	5	1.0%	No
MYH7B		8	5	1.0%	No
KIAA1522		7	5	1.0%	No
MAGEE1		5	5	1.0%	No
PAPPA2		7	5	1.0%	No
SPANXD		5	5	1.0%	No
ENGASE		6	5	1.0%	No
RFX7		5	5	1.0%	No
WNK3		7	5	1.0%	No
AHNAK		16	5	1.0%	No
OR5H2		6	5	1.0%	No
ZFHX4		10	5	1.0%	No
UGT2A3		6	5	1.0%	No
ATP8B4		6	5	1.0%	No
SEMA6D		5	5	1.0%	No
MAP3K19		6	5	1.0%	No
COL18A1		6	5	1.0%	No
OR4P4		5	5	1.0%	No
OR4A16		6	5	1.0%	No
LRRC3		5	5	1.0%	No
SBF2		6	5	1.0%	No
FCRL5		5	5	1.0%	No
TFAP2D		5	5	1.0%	No
USP26		6	5	1.0%	No
EMILIN2		5	5	1.0%	No
KIAA1109		5	5	1.0%	No
TRIM51		5	5	1.0%	No
ABCC11		6	5	1.0%	No
ABCC10		9	5	1.0%	No
SEC16B		6	5	1.0%	No
NUP210L		5	5	1.0%	No
SLFN11		5	5	1.0%	Yes
SYTL4		5	5	1.0%	No
RP1L1		12	5	1.0%	No
PKD1L2		6	5	1.0%	No
TMEM132D		6	5	1.0%	No
WDR81		6	5	1.0%	No
NLRP8		6	5	1.0%	No
NLRP5		5	5	1.0%	No
OR2M3		5	5	1.0%	No
EVC2		5	5	1.0%	No
OTOP1		5	5	1.0%	No
TAF1L		5	5	1.0%	No
BEND2		6	5	1.0%	No
PTCHD1		9	5	1.0%	No
DOCK11		5	5	1.0%	No
A2ML1		5	5	1.0%	No
ZNF560		6	5	1.0%	No
LIPI		5	5	1.0%	No
ANKAR		5	5	1.0%	No
CNTN4		5	5	1.0%	No
FAM71B		5	5	1.0%	No
SLC7A13		5	5	1.0%	No
FREM1		7	5	1.0%	No
PRUNE2		6	5	1.0%	No
TMTC2		7	5	1.0%	No
SLC5A8		6	5	1.0%	No
KRT28		5	5	1.0%	No
PKD1L1		6	5	1.0%	No
ADAMTS15		5	5	1.0%	No
PIKFYVE		5	5	1.0%	No
ADGRF5		6	5	1.0%	No
TDRD6		5	5	1.0%	No
SYCP2L		5	5	1.0%	No
BOD1L1		5	5	1.0%	No
CD163L1		7	5	1.0%	No
HECTD4		6	5	1.0%	No
SLC9C1		8	5	1.0%	No
NLRP14		5	5	1.0%	No
DCDC1		6	5	1.0%	No
FREM2		7	5	1.0%	No
PEAR1		5	5	1.0%	No
MIA3		8	5	1.0%	No
MAST4		6	5	1.0%	No
FLG2		8	5	1.0%	No
PRR23B		5	5	1.0%	No
OR5T3		5	5	1.0%	No
MYO18A		5	5	1.0%	Yes
OR2T2		5	5	1.0%	No
KPRP		5	5	1.0%	No
FAM83G		5	5	1.0%	No
A2M		4	4	0.8%	No
SERPINA3		5	4	0.8%	No
ABCA1		5	4	0.8%	No
ABCA2		5	4	0.8%	No
ABCA4		6	4	0.8%	No
ACPP		4	4	0.8%	No
ADARB2		4	4	0.8%	No
ADCY9		6	4	0.8%	No
AGL		4	4	0.8%	No
ALDH1B1		5	4	0.8%	No
AMPD1		4	4	0.8%	No
ANK1		4	4	0.8%	No
ANK2		7	4	0.8%	No
XIAP		4	4	0.8%	Yes
AQP4		5	4	0.8%	No
ARSE		4	4	0.8%	No
ASTN1		5	4	0.8%	No
ATM		7	4	0.8%	Yes
ATP2B2		4	4	0.8%	No
ATP4A		4	4	0.8%	No
ATR		6	4	0.8%	Yes
AVPR1A		4	4	0.8%	No
ADGRB1		4	4	0.8%	No
CCND1		4	4	0.8%	Yes
BCR		4	4	0.8%	Yes
BSG		4	4	0.8%	No
C7		5	4	0.8%	No
MPPED1		4	4	0.8%	No
CACNA1B		7	4	0.8%	No
CACNA1F		4	4	0.8%	No
CAD		4	4	0.8%	Yes
RUNX1T1		4	4	0.8%	Yes
CD1E		4	4	0.8%	No
CD44		4	4	0.8%	No
CDH16		4	4	0.8%	No
CHD4		4	4	0.8%	Yes
CHGB		4	4	0.8%	No
LYST		7	4	0.8%	No
CLTC		5	4	0.8%	Yes
COL2A1		6	4	0.8%	Yes
COL4A6		5	4	0.8%	No
COL11A1		7	4	0.8%	No
VCAN		7	4	0.8%	No
DAB2		5	4	0.8%	No
DCC		6	4	0.8%	No
ACE		4	4	0.8%	No
SLC26A3		4	4	0.8%	No
DSC3		5	4	0.8%	No
DTX1		4	4	0.8%	Yes
E4F1		4	4	0.8%	No
EPB41L2		6	4	0.8%	No
DMTN		5	4	0.8%	No
EPHA8		5	4	0.8%	No
EVPL		5	4	0.8%	No
FANCD2		5	4	0.8%	Yes
ACSL4		4	4	0.8%	No
FBLN1		4	4	0.8%	No
FBN1		5	4	0.8%	No
EFEMP1		4	4	0.8%	No
FGA		6	4	0.8%	No
FMR1		5	4	0.8%	No
FOLH1		5	4	0.8%	No
GABRA1		6	4	0.8%	No
GABRA4		4	4	0.8%	No
GABRA6		4	4	0.8%	Yes
GK2		4	4	0.8%	No
GLI3		5	4	0.8%	No
GLRB		4	4	0.8%	No
GLUD1		4	4	0.8%	No
GRIA1		4	4	0.8%	No
GRIA4		4	4	0.8%	No
GRIN2B		4	4	0.8%	No
ARHGAP35		5	4	0.8%	Yes
GRM4		4	4	0.8%	No
H3F3A		4	4	0.8%	Yes
HCCS		4	4	0.8%	No
HDAC2		4	4	0.8%	No
NCKAP1L		4	4	0.8%	No
HGD		5	4	0.8%	No
TNC		6	4	0.8%	No
IFNA21		4	4	0.8%	No
IGF2R		5	4	0.8%	No
RBPJ		4	4	0.8%	No
INPPL1		6	4	0.8%	Yes
ITGA4		4	4	0.8%	No
ITPR1		4	4	0.8%	No
ITPR2		11	4	0.8%	No
KCNJ12		4	4	0.8%	No
KIR2DL1		4	4	0.8%	No
KRT6B		4	4	0.8%	No
KRT86		4	4	0.8%	No
LIMK1		4	4	0.8%	No
LPO		5	4	0.8%	No
LRP6		6	4	0.8%	No
CYP4F3		4	4	0.8%	No
LTBP1		7	4	0.8%	No
MAP1A		5	4	0.8%	No
MAP1B		7	4	0.8%	No
MAX		4	4	0.8%	Yes
MAP3K1		4	4	0.8%	Yes
MAP3K4		4	4	0.8%	No
MET		8	4	0.8%	Yes
KMT2A		6	4	0.8%	Yes
TRPM1		8	4	0.8%	No
MUC3A		4	4	0.8%	No
MUC4		7	4	0.8%	No
MUC6		6	4	0.8%	No
MX2		4	4	0.8%	No
MYH6		4	4	0.8%	No
MYO5A		5	4	0.8%	Yes
MYO5B		4	4	0.8%	No
MYO9A		4	4	0.8%	No
NEDD4		4	4	0.8%	No
NEU2		4	4	0.8%	No
NFRKB		4	4	0.8%	No
NKX2-2		4	4	0.8%	No
NMBR		5	4	0.8%	No
NOS1		4	4	0.8%	No
NOS3		6	4	0.8%	No
CNOT4		4	4	0.8%	No
NOTCH4		6	4	0.8%	Yes
NRAP		6	4	0.8%	No
NRAS		4	4	0.8%	Yes
NRCAM		4	4	0.8%	No
TBC1D25		4	4	0.8%	No
OPHN1		4	4	0.8%	No
PA2G4		4	4	0.8%	No
CNTN3		4	4	0.8%	No
PAX4		4	4	0.8%	No
PCDH7		4	4	0.8%	No
PDE6C		7	4	0.8%	No
ENPP1		4	4	0.8%	No
PGR		5	4	0.8%	Yes
ABCB4		5	4	0.8%	No
PHKA2		6	4	0.8%	No
PLA2G4A		4	4	0.8%	No
PLXNA1		7	4	0.8%	No
PLXNB1		5	4	0.8%	No
PPEF2		4	4	0.8%	No
PKN1		4	4	0.8%	No
PTPN14		7	4	0.8%	No
PTPRD		7	4	0.8%	Yes
PTPRF		4	4	0.8%	No
PTPRG		5	4	0.8%	No
RASA1		4	4	0.8%	Yes
RGS12		6	4	0.8%	No
RHAG		4	4	0.8%	No
BRD2		5	4	0.8%	No
ROBO2		8	4	0.8%	No
RPS6KA1		4	4	0.8%	No
RREB1		4	4	0.8%	No
RRM1		5	4	0.8%	No
SBF1		7	4	0.8%	No
SCN1A		5	4	0.8%	No
SCN5A		4	4	0.8%	No
SLC1A6		4	4	0.8%	No
SLC1A7		4	4	0.8%	No
SLCO2A1		4	4	0.8%	No
SMARCA1		4	4	0.8%	Yes
SMARCB1		4	4	0.8%	Yes
SIGLEC1		5	4	0.8%	No
SNAPC4		4	4	0.8%	No
SOX4		4	4	0.8%	No
THOP1		5	4	0.8%	No
NKX2-1		4	4	0.8%	Yes
TLE4		4	4	0.8%	No
TLL2		5	4	0.8%	Yes
TPM1		5	4	0.8%	No
TPP2		4	4	0.8%	No
TPR		8	4	0.8%	Yes
TRPC4		5	4	0.8%	No
TRPM2		4	4	0.8%	No
TYRP1		4	4	0.8%	No
UGT2B4		4	4	0.8%	No
USP4		4	4	0.8%	No
VAV1		5	4	0.8%	Yes
VAV2		4	4	0.8%	Yes
XDH		8	4	0.8%	No
ZFX		6	4	0.8%	No
ZP2		4	4	0.8%	No
MAP3K12		4	4	0.8%	No
PRDM2		5	4	0.8%	No
BRD3		5	4	0.8%	Yes
LZTR1		4	4	0.8%	Yes
SMC1A		4	4	0.8%	Yes
BFSP2		4	4	0.8%	No
RAD54L		5	4	0.8%	Yes
DHX16		4	4	0.8%	No
CUL2		5	4	0.8%	No
DGKD		4	4	0.8%	No
CDC14B		4	4	0.8%	No
KRT36		4	4	0.8%	No
TNFSF14		4	4	0.8%	No
MTMR1		4	4	0.8%	No
IQGAP1		9	4	0.8%	No
KSR1		4	4	0.8%	No
MCM3AP		5	4	0.8%	No
CACNA1G		6	4	0.8%	No
KALRN		8	4	0.8%	No
MAP7		4	4	0.8%	No
USP6		4	4	0.8%	Yes
ARHGEF2		5	4	0.8%	No
ZMYM6		5	4	0.8%	No
LGI1		4	4	0.8%	No
MTA2		4	4	0.8%	No
PTER		4	4	0.8%	No
TRIP12		6	4	0.8%	No
ADAMTS3		4	4	0.8%	No
NCOR2		5	4	0.8%	Yes
GNA14		4	4	0.8%	No
IKBKE		4	4	0.8%	Yes
CTR9		4	4	0.8%	Yes
PLCH2		5	4	0.8%	No
LPIN2		4	4	0.8%	No
CROCC		4	4	0.8%	No
RIMS2		5	4	0.8%	No
GPRASP1		4	4	0.8%	No
CLSTN3		4	4	0.8%	No
KMT2B		7	4	0.8%	Yes
HDAC4		4	4	0.8%	Yes
DHX38		4	4	0.8%	No
URB2		5	4	0.8%	No
RB1CC1		4	4	0.8%	No
ARHGAP11A		6	4	0.8%	No
ZEB2		5	4	0.8%	No
HEPH		4	4	0.8%	No
KIAA0319		4	4	0.8%	No
PPP1R26		5	4	0.8%	No
MAGI2		4	4	0.8%	No
TBC1D4		6	4	0.8%	No
TELO2		4	4	0.8%	No
ARHGAP25		4	4	0.8%	No
