Gene	Gistic(Q-value)	Cytoband	CNA	#	Freq	Is Cancer Gene (source: OncoKB)
ADCY8	6.795e-16	8q24.22	AMP	35	6.8%	No
ANXA13	6.795e-16	8q24.13	AMP	35	6.8%	No
HAS2	6.795e-16	8q24.13	AMP	35	6.8%	No
IFNA1		9p21.3	DEL	35	6.8%	No
CCN3		8q24.12	AMP	35	6.8%	No
ENPP2	6.795e-16	8q24.12	AMP	35	6.8%	No
RAD21	6.795e-16	8q24.11	AMP	35	6.8%	Yes
TAF2	6.795e-16	8q24.12	AMP	35	6.8%	No
COL14A1	6.795e-16	8q24.12	AMP	35	6.8%	No
EIF3H	6.795e-16	8q23.3-q24.11	AMP	35	6.8%	No
ZHX1	6.795e-16	8q24.13	AMP	35	6.8%	No
DENND3		8q24.3	AMP	35	6.8%	No
ATAD2	6.795e-16	8q24.13	AMP	35	6.8%	No
ASAP1	6.795e-16	8q24.21-q24.22	AMP	35	6.8%	No
WDYHV1	6.795e-16	8q24.13	AMP	35	6.8%	No
DSCC1	6.795e-16	8q24.12	AMP	35	6.8%	No
UTP23	6.795e-16	8q24.11	AMP	35	6.8%	No
FBXO32	6.795e-16	8q24.13	AMP	35	6.8%	No
FAM91A1	6.795e-16	8q24.13	AMP	35	6.8%	No
IFNE		9p21.3	DEL	35	6.8%	No
KLHL38	6.795e-16	8q24.13	AMP	35	6.8%	No
AARD	6.795e-16	8q24.11	AMP	35	6.8%	No
FER1L6	6.795e-16	8q24.13	AMP	35	6.8%	No
SNORA32	6.795e-16	11q21	AMP	35	6.8%	No
RN7SKP155	6.795e-16	8q24.13	AMP	35	6.8%	No
RN7SL228P	6.795e-16	8q24.11	AMP	35	6.8%	No
RN7SKP153	6.795e-16	8q24.12	AMP	35	6.8%	No
MIR-4663/4663			AMP	34	6.6%	No
ADGRB1		8q24.3	AMP	34	6.6%	No
GLI4		8q24.3	AMP	34	6.6%	No
GPR20		8q24.3	AMP	34	6.6%	No
IFNA2		9p21.3	DEL	34	6.6%	No
IFNA6		9p21.3	DEL	34	6.6%	No
IFNA8		9p21.3	DEL	34	6.6%	No
IFNA13		9p21.3	DEL	34	6.6%	No
KCNQ3	6.795e-16	8q24.22	AMP	34	6.6%	No
PTK2		8q24.3	AMP	34	6.6%	No
SNTB1	6.795e-16	8q24.12	AMP	34	6.6%	No
HHLA1	6.795e-16	8q24.22	AMP	34	6.6%	No
PTP4A3		8q24.3	AMP	34	6.6%	No
ZHX2	6.795e-16	8q24.13	AMP	34	6.6%	No
ZC3H3		8q24.3	AMP	34	6.6%	No
EFR3A	6.795e-16	8q24.22	AMP	34	6.6%	No
MTBP	6.795e-16	8q24.12	AMP	34	6.6%	No
AGO2		8q24.3	AMP	34	6.6%	Yes
MRPL13	6.795e-16	8q24.12	AMP	34	6.6%	No
KLHL9		9p21.3	DEL	34	6.6%	No
SLC45A4		8q24.3	AMP	34	6.6%	No
DERL1	6.795e-16	8q24.13	AMP	34	6.6%	No
ZNF696		8q24.3	AMP	34	6.6%	No
C8ORF76	6.795e-16	8q24.13	AMP	34	6.6%	No
FAM83A	6.795e-16	8q24.13	AMP	34	6.6%	No
TBC1D31	6.795e-16	8q24.13	AMP	34	6.6%	No
RHPN1		8q24.3	AMP	34	6.6%	No
TOP1MT		8q24.3	AMP	34	6.6%	No
TSNARE1		8q24.3	AMP	34	6.6%	No
ZFP41		8q24.3	AMP	34	6.6%	No
MROH5		8q24.3	AMP	34	6.6%	No
MAFA		8q24.3	AMP	34	6.6%	No
LINC00051		8q24.3	AMP	34	6.6%	No
OC90	6.795e-16	8q24.22	AMP	34	6.6%	No
RNY4P5	6.795e-16	8q24.13	AMP	34	6.6%	No
LINC00536	6.795e-16	8q23.3	AMP	34	6.6%	No
RNA5SP278		8q24.3	AMP	34	6.6%	No
MIR-939/939			AMP	33	6.4%	No
MIR-661/661			AMP	33	6.4%	No
CYC1		8q24.3	AMP	33	6.4%	No
CYP11B1		8q24.3	AMP	33	6.4%	No
CYP11B2		8q24.3	AMP	33	6.4%	No
EEF1D		8q24.3	AMP	33	6.4%	No
GML		8q24.3	AMP	33	6.4%	No
GPT		8q24.3	AMP	33	6.4%	No
GRINA		8q24.3	AMP	33	6.4%	No
HSF1		8q24.3	AMP	33	6.4%	No
IFNA5		9p21.3	DEL	33	6.4%	No
LY6E		8q24.3	AMP	33	6.4%	No
LY6H		8q24.3	AMP	33	6.4%	No
TONSL		8q24.3	AMP	33	6.4%	No
PLEC		8q24.3	AMP	33	6.4%	No
RPL8		8q24.3	AMP	33	6.4%	No
TRPS1	6.795e-16	8q23.3	AMP	33	6.4%	No
TSTA3		8q24.3	AMP	33	6.4%	No
ZNF7		8q24.3	AMP	33	6.4%	No
ZNF16		8q24.3	AMP	33	6.4%	No
PSCA		8q24.3	AMP	33	6.4%	No
LY6D		8q24.3	AMP	33	6.4%	No
JRK		8q24.3	AMP	33	6.4%	No
DGAT1		8q24.3	AMP	33	6.4%	No
GPAA1		8q24.3	AMP	33	6.4%	No
FOXH1		8q24.3	AMP	33	6.4%	No
RECQL4		8q24.3	AMP	33	6.4%	Yes
LRRC14		8q24.3	AMP	33	6.4%	No
ZNF623		8q24.3	AMP	33	6.4%	No
KHDRBS3	6.795e-16	8q24.23	AMP	33	6.4%	No
PUF60		8q24.3	AMP	33	6.4%	No
ARC		8q24.3	AMP	33	6.4%	No
BOP1		8q24.3	AMP	33	6.4%	No
SCRIB		8q24.3	AMP	33	6.4%	No
FBXL6		8q24.3	AMP	33	6.4%	No
OPLAH		8q24.3	AMP	33	6.4%	No
COMMD5		8q24.3	AMP	33	6.4%	No
CPSF1		8q24.3	AMP	33	6.4%	No
CYHR1		8q24.3	AMP	33	6.4%	No
PHF20L1	6.795e-16	8q24.22	AMP	33	6.4%	No
VPS28		8q24.3	AMP	33	6.4%	No
HGH1		8q24.3	AMP	33	6.4%	No
THEM6		8q24.3	AMP	33	6.4%	No
CHRAC1		8q24.3	AMP	33	6.4%	No
EXOSC4		8q24.3	AMP	33	6.4%	No
LY6K		8q24.3	AMP	33	6.4%	No
SLC39A4		8q24.3	AMP	33	6.4%	No
PARP11	8.761e-16	12p13.32	AMP	33	6.4%	No
SLURP1		8q24.3	AMP	33	6.4%	No
ZNF250		8q24.3	AMP	33	6.4%	No
PYCR3		8q24.3	AMP	33	6.4%	No
C8ORF33		8q24.3	AMP	33	6.4%	No
LYNX1		8q24.3	AMP	33	6.4%	No
SLC52A2		8q24.3	AMP	33	6.4%	No
GSDMD		8q24.3	AMP	33	6.4%	No
ARHGAP39		8q24.3	AMP	33	6.4%	No
ZNF34		8q24.3	AMP	33	6.4%	No
SHARPIN		8q24.3	AMP	33	6.4%	No
EPPK1		8q24.3	AMP	33	6.4%	No
SCRT1		8q24.3	AMP	33	6.4%	No
TRAPPC9		8q24.3	AMP	33	6.4%	No
MAF1		8q24.3	AMP	33	6.4%	No
PARP10		8q24.3	AMP	33	6.4%	No
TIGD5		8q24.3	AMP	33	6.4%	No
PPP1R16A		8q24.3	AMP	33	6.4%	No
ZNF251		8q24.3	AMP	33	6.4%	No
KIFC2		8q24.3	AMP	33	6.4%	No
NAPRT		8q24.3	AMP	33	6.4%	No
MFSD3		8q24.3	AMP	33	6.4%	No
CSMD3	6.795e-16	8q23.3	AMP	33	6.4%	No
LYPD2		8q24.3	AMP	33	6.4%	No
TMEM71	6.795e-16	8q24.22	AMP	33	6.4%	No
ADCK5		8q24.3	AMP	33	6.4%	No
MAPK15		-	AMP	33	6.4%	No
ZNF707		8q24.3	AMP	33	6.4%	No
FAM83H		8q24.3	AMP	33	6.4%	No
ZNF252P		8q24.3	AMP	33	6.4%	No
CASC7		8q24.3	AMP	33	6.4%	No
C8ORF31		8q24.3	AMP	33	6.4%	No
GPIHBP1		8q24.3	AMP	33	6.4%	No
NRBP2		8q24.3	AMP	33	6.4%	No
ZNF517		8q24.3	AMP	33	6.4%	No
WDR97		8q24.3	AMP	33	6.4%	No
TMEM249		8q24.3	AMP	33	6.4%	No
SPATC1		8q24.3	AMP	33	6.4%	No
C8ORF82		8q24.3	AMP	33	6.4%	No
LRRC24		8q24.3	AMP	33	6.4%	No
MROH6		8q24.3	AMP	33	6.4%	No
SCX		8q24.3	AMP	33	6.4%	No
MROH1		8q24.3	AMP	33	6.4%	No
CCDC166		8q24.3	AMP	33	6.4%	No
C8ORF17		8q24.3	AMP	33	6.4%	No
RNA5SP276	6.795e-16	8q23.3	AMP	33	6.4%	No
RN7SL395P		8q24.3	AMP	33	6.4%	No
ST3GAL1	6.795e-16	8q24.22	AMP	32	6.2%	No
SLA	6.795e-16	8q24.22	AMP	32	6.2%	No
TG	6.795e-16	8q24.22	AMP	32	6.2%	No
CCN4	6.795e-16	8q24.22	AMP	32	6.2%	No
NDRG1	6.795e-16	8q24.22	AMP	32	6.2%	Yes
LRRC6	6.795e-16	8q24.22	AMP	32	6.2%	No
KCNK9		8q24.3	AMP	32	6.2%	No
ZFAT	6.795e-16	8q24.22	AMP	32	6.2%	No
HPYR1	6.795e-16	8q24.22	AMP	32	6.2%	No
COL22A1		8q24.23-q24.3	AMP	32	6.2%	No
CCND2		12p13.32	AMP	31	6.0%	Yes
CD4		12p13.31	AMP	31	6.0%	No
CD27		12p13.31	AMP	31	6.0%	No
CHD4		12p13.31	AMP	31	6.0%	Yes
FGF6		12p13.32	AMP	31	6.0%	Yes
GAPDH		12p13.31	AMP	31	6.0%	No
GNB3		12p13.31	AMP	31	6.0%	No
LAG3		12p13.31	AMP	31	6.0%	No
NDUFA9		12p13.32	AMP	31	6.0%	No
NOP2		12p13.31	AMP	31	6.0%	No
PTMS		12p13.31	AMP	31	6.0%	No
VAMP1		12p13.31	AMP	31	6.0%	No
TPI1		12p13.31	AMP	31	6.0%	No
FGF23		12p13.32	AMP	31	6.0%	Yes
USP5		12p13.31	AMP	31	6.0%	No
MLF2		12p13.31	AMP	31	6.0%	No
DYRK4		12p13.32	AMP	31	6.0%	No
NCAPD2		12p13.31	AMP	31	6.0%	No
LRRC23		12p13.31	AMP	31	6.0%	No
P3H3		12p13.31	AMP	31	6.0%	No
AKAP3		12p13.32	AMP	31	6.0%	No
RAD51AP1		12p13.32	AMP	31	6.0%	No
IFFO1		12p13.31	AMP	31	6.0%	No
GPR162		12p13.31	AMP	31	6.0%	No
COPS7A		12p13.31	AMP	31	6.0%	No
FAM135B		8q24.23	AMP	31	6.0%	No
ING4		12p13.31	AMP	31	6.0%	No
MRPL51		12p13.31	AMP	31	6.0%	No
TAPBPL		12p13.31	AMP	31	6.0%	No
C12ORF4		12p13.32	AMP	31	6.0%	No
TIGAR		12p13.32	AMP	31	6.0%	No
LPAR5		12p13.31	AMP	31	6.0%	No
CDCA3		12p13.31	AMP	31	6.0%	No
ACRBP		12p13.31	AMP	31	6.0%	No
SPSB2		12p13.31	AMP	31	6.0%	No
ZNF384		12p13.31	AMP	31	6.0%	Yes
PIANP		12p13.31	AMP	31	6.0%	No
RPL13P5		12p13.31	AMP	31	6.0%	No
SCARNA10		12p13.31	AMP	31	6.0%	No
RN7SL380P		12p13.31	AMP	31	6.0%	No
MIR-2053/2053			AMP	30	5.8%	No
CD9		12p13.31	AMP	30	5.8%	No
ENO2		12p13.31	AMP	30	5.8%	No
IFNA4		9p21.3	DEL	30	5.8%	No
IFNA7		9p21.3	DEL	30	5.8%	No
IFNA10		9p21.3	DEL	30	5.8%	No
IFNA14		9p21.3	DEL	30	5.8%	No
IFNA16		9p21.3	DEL	30	5.8%	No
IFNA17		9p21.3	DEL	30	5.8%	No
KCNA1		12p13.32	AMP	30	5.8%	No
KCNA5		12p13.32	AMP	30	5.8%	No
KCNA6		12p13.32	AMP	30	5.8%	No
LTBR		12p13.31	AMP	30	5.8%	No
NTF3		12p13.31	AMP	30	5.8%	No
SCNN1A		12p13.31	AMP	30	5.8%	No
TNFRSF1A		12p13.31	AMP	30	5.8%	No
VWF		12p13.31	AMP	30	5.8%	No
GALNT8		12p13.32	AMP	30	5.8%	No
PLEKHG6		12p13.31	AMP	30	5.8%	No
ANO2		12p13.31	AMP	30	5.8%	No
DSTNP2		12p13.31	AMP	30	5.8%	No
RN7SL69P		12p13.31	AMP	30	5.8%	No
RN7SL391P		12p13.31	AMP	30	5.8%	No
C1S		12p13.31	AMP	29	5.7%	No
ATN1		12p13.31	AMP	29	5.7%	No
MKLN1	1.751e-11	7q32.3	AMP	29	5.7%	No
PEG3	1.443e-28	19q13.43	DEL	29	5.7%	No
PTPN6		12p13.31	AMP	29	5.7%	Yes
PEX5		12p13.31	AMP	29	5.7%	No
RPL28	1.443e-28	19q13.42	DEL	29	5.7%	No
CLSTN3		12p13.31	AMP	29	5.7%	No
LPCAT3		12p13.31	AMP	29	5.7%	No
EMG1		12p13.31	AMP	29	5.7%	No
PHB2		12p13.31	AMP	29	5.7%	No
U2AF2	1.443e-28	19q13.42	DEL	29	5.7%	Yes
ZIM2	1.443e-28	19q13.43	DEL	29	5.7%	No
UBE2S	1.443e-28	19q13.42	DEL	29	5.7%	No
CCDC106	1.443e-28	19q13.42	DEL	29	5.7%	No
EPN1	1.443e-28	19q13.42	DEL	29	5.7%	No
ZNF580	1.443e-28	19q13.42	DEL	29	5.7%	No
ZNF581	1.443e-28	19q13.42	DEL	29	5.7%	No
ZNF444	1.443e-28	19q13.43	DEL	29	5.7%	No
PRMT8		12p13.32	AMP	29	5.7%	No
NAT14	1.443e-28	19q13.42	DEL	29	5.7%	No
ZNF471	1.443e-28	19q13.43	DEL	29	5.7%	No
ZNF71	1.443e-28	19q13.43	DEL	29	5.7%	No
ZNF667	1.443e-28	19q13.43	DEL	29	5.7%	No
ZSCAN5A	1.443e-28	19q13.43	DEL	29	5.7%	No
ISOC2	1.443e-28	19q13.42	DEL	29	5.7%	No
RBP5		12p13.31	AMP	29	5.7%	No
CRACR2A		12p13.32	AMP	29	5.7%	No
FIZ1	1.443e-28	19q13.42	DEL	29	5.7%	No
GALP	1.443e-28	19q13.43	DEL	29	5.7%	No
ZNF628	1.443e-28	19q13.42	DEL	29	5.7%	No
ZNF835	1.443e-28	19q13.43	DEL	29	5.7%	No
C12ORF57		12p13.31	AMP	29	5.7%	No
NLRP13	1.443e-28	19q13.43	DEL	29	5.7%	No
NLRP8	1.443e-28	19q13.43	DEL	29	5.7%	No
NLRP5	1.443e-28	19q13.43	DEL	29	5.7%	No
ZNF787	1.443e-28	19q13.43	DEL	29	5.7%	No
ZFP28	1.443e-28	19q13.43	DEL	29	5.7%	No
SMIM17	1.443e-28	19q13.43	DEL	29	5.7%	No
ZNF524	1.443e-28	19q13.42	DEL	29	5.7%	No
ZNF784	1.443e-28	19q13.42	DEL	29	5.7%	No
NLRP4	1.443e-28	19q13.43	DEL	29	5.7%	No
ZNF542P	1.443e-28	19q13.43	DEL	29	5.7%	No
ZNF582	1.443e-28	19q13.43	DEL	29	5.7%	No
ZNF583	1.443e-28	19q13.43	DEL	29	5.7%	No
ZNF579	1.443e-28	19q13.42	DEL	29	5.7%	No
NLRP11	1.443e-28	19q13.42-q13.43	DEL	29	5.7%	No
SSC5D	1.443e-28	19q13.42	DEL	29	5.7%	No
NLRP9	1.443e-28	19q13.42	DEL	29	5.7%	No
RFPL4A	1.443e-28	19q13.42	DEL	29	5.7%	No
ZSCAN5B	1.443e-28	19q13.43	DEL	29	5.7%	No
ZNF470	1.443e-28	19q13.43	DEL	29	5.7%	No
SBK2	1.443e-28	19q13.42	DEL	29	5.7%	No
ZSCAN5DP	1.443e-28	19q13.43	DEL	29	5.7%	No
ZSCAN5C	1.443e-28	19q13.43	DEL	29	5.7%	No
SCARNA12		12p13.31	AMP	29	5.7%	No
SHISA7	1.443e-28	19q13.42	DEL	29	5.7%	No
RFPL4AL1	1.443e-28	19q13.42	DEL	29	5.7%	No
MIMT1	1.443e-28	19q13.43	DEL	29	5.7%	No
SBK3	1.443e-28	19q13.42	DEL	29	5.7%	No
ZNF865	1.443e-28	19q13.42	DEL	29	5.7%	No
RN7SKP109	1.443e-28	19q13.42	DEL	29	5.7%	No
C1R		12p13.31	AMP	28	5.5%	No
CACNA1C		12p13.33	AMP	28	5.5%	No
FKBP4		12p13.33	AMP	28	5.5%	No
FOXM1		12p13.33	AMP	28	5.5%	No
IFNA21		9p21.3	DEL	28	5.5%	No
IFNW1		9p21.3	DEL	28	5.5%	No
IL11	1.443e-28	19q13.42	DEL	28	5.5%	No
TRAPPC2		Xp22.2	DEL	28	5.5%	No
AURKC	1.443e-28	19q13.43	DEL	28	5.5%	No
TEAD4		12p13.33	AMP	28	5.5%	No
TULP3		12p13.33	AMP	28	5.5%	No
ZNF17	1.443e-28	19q13.43	DEL	28	5.5%	No
CD163		12p13.31	AMP	28	5.5%	No
ZNF264	1.443e-28	19q13.43	DEL	28	5.5%	No
ZNF460	1.443e-28	19q13.43	DEL	28	5.5%	No
TSPAN9		12p13.33-p13.32	AMP	28	5.5%	No
SEC61G		7p11.2	AMP	28	5.5%	No
C1RL		12p13.31	AMP	28	5.5%	No
ITFG2		12p13.33	AMP	28	5.5%	No
VN1R1	1.443e-28	19q13.43	DEL	28	5.5%	No
ZNF304	1.443e-28	19q13.43	DEL	28	5.5%	No
USP29	1.443e-28	19q13.43	DEL	28	5.5%	No
ZNF419	1.443e-28	19q13.43	DEL	28	5.5%	No
RHNO1		12p13.33	AMP	28	5.5%	No
NRIP2		12p13.33	AMP	28	5.5%	No
BRSK1	1.443e-28	19q13.42	DEL	28	5.5%	Yes
KMT5C	1.443e-28	19q13.42	DEL	28	5.5%	No
ZIM3	1.443e-28	19q13.43	DEL	28	5.5%	No
ZNF543	1.443e-28	19q13.43	DEL	28	5.5%	No
COX6B2	1.443e-28	19q13.42	DEL	28	5.5%	No
ZNF548	1.443e-28	19q13.43	DEL	28	5.5%	No
TMEM190	1.443e-28	19q13.42	DEL	28	5.5%	No
CD163L1		12p13.31	AMP	28	5.5%	No
ZNF547	1.443e-28	19q13.43	DEL	28	5.5%	No
TMEM150B	1.443e-28	19q13.42	DEL	28	5.5%	No
FAM71E2	1.443e-28	19q13.42	DEL	28	5.5%	No
ACSM4		12p13.31	AMP	28	5.5%	No
ZNF773	1.443e-28	19q13.43	DEL	28	5.5%	No
TMEM238	1.443e-28	19q13.42	DEL	28	5.5%	No
ZNF749	1.443e-28	19q13.43	DEL	28	5.5%	No
ZNF805	1.443e-28	19q13.43	DEL	28	5.5%	No
ZNF772	1.443e-28	19q13.43	DEL	28	5.5%	No
DUXA	1.443e-28	19q13.43	DEL	28	5.5%	No
CBX3P4		12p13.33	AMP	28	5.5%	No
ELAVL2		9p21.3	DEL	27	5.3%	No
KCNQ1	1.534e-13	11p15.5-p15.4	DEL	27	5.3%	No
PODXL	1.751e-11	7q32.3	AMP	27	5.3%	No
PTPRH	1.443e-28	19q13.42	DEL	27	5.3%	No
SYT5	1.443e-28	19q13.42|11p	DEL	27	5.3%	No
TNNI3	1.443e-28	19q13.42	DEL	27	5.3%	No
TNNT1	1.443e-28	19q13.42	DEL	27	5.3%	No
TRHR		8q23.1	AMP	27	5.3%	No
ZNF8		19q13.43	DEL	27	5.3%	No
ZNF134		19q13.43	DEL	27	5.3%	No
ZNF135		19q13.43	DEL	27	5.3%	No
ZNF154		19q13.43	DEL	27	5.3%	No
EBAG9		8q23.2	AMP	27	5.3%	No
ZNF256		19q13.43	DEL	27	5.3%	No
ZNF211		19q13.43	DEL	27	5.3%	No
ZNF274		19q13.43	DEL	27	5.3%	No
PPP6R1	1.443e-28	19q13.42	DEL	27	5.3%	No
HSPBP1	1.443e-28	19q13.42	DEL	27	5.3%	No
CNTNAP2	1.553e-7	7q35-q36.1	AMP	27	5.3%	No
COPG2	1.751e-11	7q32.2	AMP	27	5.3%	No
KCNV1		8q23.2	AMP	27	5.3%	No
ZNF544		19q13.43	DEL	27	5.3%	No
GP6	1.443e-28	19q13.42	DEL	27	5.3%	No
PPP1R12C	1.443e-28	19q13.42	DEL	27	5.3%	No
ZNF586		19q13.43	DEL	27	5.3%	No
EPS8L1	1.443e-28	19q13.42	DEL	27	5.3%	No
SYBU		8q23.2	AMP	27	5.3%	No
NLRP2	1.443e-28	19q13.42	DEL	27	5.3%	No
ZNF416		19q13.43	DEL	27	5.3%	No
ENY2		8q23.1	AMP	27	5.3%	No
ZSCAN18		19q13.43	DEL	27	5.3%	No
ADIPOR2		12p13.33	AMP	27	5.3%	No
ZNF329		19q13.43	DEL	27	5.3%	No
ZNF552		19q13.43	DEL	27	5.3%	No
ZNF671		19q13.43	DEL	27	5.3%	No
ZNF606		19q13.43	DEL	27	5.3%	No
ZNF587		19q13.43	DEL	27	5.3%	No
NUDCD1		8q23.1	AMP	27	5.3%	No
ZNF551		19q13.43	DEL	27	5.3%	No
PKHD1L1		8q23.1-q23.2	AMP	27	5.3%	No
CACNA2D4		12p13.33	AMP	27	5.3%	No
RDH13	1.443e-28	19q13.42	DEL	27	5.3%	No
TSGA13	1.751e-11	7q32.2	AMP	27	5.3%	No
KLF14	1.751e-11	7q32.2	AMP	27	5.3%	No
C19ORF18		19q13.43	DEL	27	5.3%	No
ZNF418		19q13.43	DEL	27	5.3%	No
ZNF417		19q13.43	DEL	27	5.3%	No
ZNF550		19q13.43	DEL	27	5.3%	No
NLRP7	1.443e-28	19q13.42	DEL	27	5.3%	No
ZSCAN4		19q13.43	DEL	27	5.3%	No
TMEM86B	1.443e-28	19q13.42	DEL	27	5.3%	No
ZNF549		19q13.43	DEL	27	5.3%	No
ZIK1		19q13.43	DEL	27	5.3%	No
ZNF776		19q13.43	DEL	27	5.3%	No
ZSCAN1		19q13.43	DEL	27	5.3%	No
ZNF530		19q13.43	DEL	27	5.3%	No
DNAAF3	1.443e-28	19q13.42	DEL	27	5.3%	No
ZNF814		19q13.43	DEL	27	5.3%	No
ZNF587B		19q13.43	DEL	27	5.3%	No
RNA5SP246	1.751e-11	7q32.2	AMP	27	5.3%	No
RN7SL526P		19q13.43	DEL	27	5.3%	No
MIR-4298/4298			DEL	26	5.1%	No
MIR-3649/3649			AMP	26	5.1%	No
AP2A2		11p15.5	DEL	26	5.1%	No
APOBEC1		12p13.31	AMP	26	5.1%	No
BOK		2q37.3	DEL	26	5.1%	No
CD151		11p15.5	DEL	26	5.1%	No
CPA1	1.553e-7	7q32.2	AMP	26	5.1%	No
CPA2	1.553e-7	7q32.2	AMP	26	5.1%	No
CTSD		11p15.5	DEL	26	5.1%	No
DRD4		11p15.5	DEL	26	5.1%	No
DTYMK		2q37.3	DEL	26	5.1%	No
DUSP8		11p15.5	DEL	26	5.1%	No
FCAR	1.443e-28	19q13.42	DEL	26	5.1%	No
HRAS		11p15.5	DEL	26	5.1%	Yes
EIF3E		8q23.1	AMP	26	5.1%	Yes
IRF7		11p15.5	DEL	26	5.1%	No
KIR2DL1	1.443e-28	19q13.42	DEL	26	5.1%	No
KIR2DL3	1.443e-28	19q13.42	DEL	26	5.1%	No
KIR2DL4	1.443e-28	19q13.42	DEL	26	5.1%	No
KIR2DS4	1.443e-28	19q13.42	DEL	26	5.1%	No
KIR3DL1	1.443e-28	19q13.42	DEL	26	5.1%	No
KIR3DL2	1.443e-28	19q13.42	DEL	26	5.1%	No
LSP1		11p15.5	DEL	26	5.1%	No
MEST	1.553e-7	7q32.2	AMP	26	5.1%	No
MUC2		11p15.5	DEL	26	5.1%	No
MUC5AC		11p15.5	DEL	26	5.1%	No
MUC6		11p15.5	DEL	26	5.1%	No
PDCD1		2q37.3	DEL	26	5.1%	Yes
POLR2L		11p15.5	DEL	26	5.1%	No
PSMD13		11p15.5	DEL	26	5.1%	No
RAD52		12p13.33	AMP	26	5.1%	Yes
RNH1		11p15.5	DEL	26	5.1%	No
RPLP2		11p15.5	DEL	26	5.1%	No
SCT		11p15.5	DEL	26	5.1%	No
TALDO1		11p15.5	DEL	26	5.1%	No
TSPAN4		11p15.5	DEL	26	5.1%	No
TNNI2		11p15.5	DEL	26	5.1%	No
RASSF7		11p15.5	DEL	26	5.1%	No
IFITM1		11p15.5	DEL	26	5.1%	No
BRSK2		11p15.5	DEL	26	5.1%	No
NCR1	1.443e-28	19q13.42	DEL	26	5.1%	No
EMC2		8q23.1	AMP	26	5.1%	No
IFITM3		11p15.5	DEL	26	5.1%	No
DEAF1		11p15.5	DEL	26	5.1%	No
